"","D01T02","D03","D05T06","D07T08","D09","D10T12","D13T15","D16","D17T18","D19","D20","D21","D22","D23","D24","D25","D26","D27","D28","D29","D30","D31T33","D35","D36T39","D41T43","D45T47","D49","D50","D51","D52","D53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T75","D77T82","D84","D85","D86T88","D90T93","D94T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","CONS_ABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_01T02",1728,0.9,0.2,0.3,0,3374.2,18.6,563.3,343.6,0,1.3,2.5,23.9,0.3,0.3,0.1,0.1,0.1,0.1,0,0.1,4.4,31.6,0,7.1,7.5,0.3,18.5,0.4,0,0,196,0.6,0.1,0.2,0.3,0.5,0.8,26.6,23.5,3.6,18.6,0.2,0,0,2711.4,0,105.2,293.8,163.6,0,13.9,2683.2,0,12369.8
"DOM_03",0.1,240.6,0,0,0,2191.4,0,0,0,0,0.4,0,0.1,0,0,0,0,0,0,0,0,0.2,0,0,0,0.1,0,9.9,0,0,0,9.8,0,0,0,0,0,0,0,0.6,0.1,0.6,0.9,2.1,0,145,0,0,0,-126.5,0,1.3,58.9,0,2535.9
"DOM_05T06",2.4,1.2,2.3,7,0.3,6.8,0.5,0.5,2.1,229.8,7.4,2,0.4,4.5,15.1,0.5,0.1,0.1,0.4,0,0.1,0.3,83.9,0.4,9.3,5.8,12.6,4.1,2.7,1,0,1,0.2,0.1,0.7,0.4,1.1,5.9,1.8,0.9,0.4,0.6,0.2,0.5,0,37.3,0,0,39.3,-20.9,0,0.4,11.2,0,485
"DOM_07T08",83.9,0.9,10.2,2744.7,1.1,37.1,6.3,7.3,27.8,2.7,501.2,5.3,24,465.8,3948,259.6,34.7,31,51.1,0.3,4.5,64.4,4.3,3.1,462,37.8,11.3,1.9,1,3.2,0.3,2.5,1.5,2,3.5,4.3,6.3,32.9,8.2,5.9,1.9,5.5,8.2,2.6,0,89.1,0,0.4,213.8,-36.9,0,1.2,11666.9,0,20856.4
"DOM_09",0.2,0,2.3,0.1,0.2,0.1,0,0,0.1,0,0.3,0,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.6,0,0,63,-0.2,0,0,2.1,0,70
"DOM_10T12",699.5,382.3,2.4,12.6,0,2322,18.5,7.2,21.8,3.9,63.1,28.3,13.9,18,18.5,5.1,0.9,0.6,3.6,0.6,1,4.9,11.7,6.9,40.5,254.4,12.5,35,2.5,2.6,0.4,960.5,2.9,8.5,3.8,9.9,8.6,8.2,8.8,61.8,22.4,74.2,1.5,2.5,0,11397.7,0,70.1,72,-214.5,0,75.6,6274.1,0,22843.5
"DOM_13T15",6.2,3.9,0.2,4.3,0,13.4,96.3,1.4,10.7,0.4,6.2,1.6,5.7,1.7,4.7,1.8,0.4,0.3,1.3,0.2,0.6,11.8,1.5,1.1,77.3,22.4,4.9,0.6,0.8,0.9,0.1,5.8,0.9,2.7,0.9,7.1,2.1,2.9,2.7,9.8,2.7,5.3,0.6,1.2,0,1050,0,0.4,29.7,-63.5,0,35.4,285.9,0,1665.1
"DOM_16",13.9,1,0.4,3.7,0,25.4,2.4,158.2,72.4,0.5,3,0.6,1.8,3.3,5.3,2.5,1.1,0.9,0.9,0.1,0.5,34.5,14.4,2.5,323.9,14.5,2.9,1.8,0.4,1.1,0.1,1.4,1.5,1.9,0.6,1.8,1.4,1.3,3.1,2.8,1.1,2.5,0.2,7.6,0,60.8,0,0.3,20.5,-25.9,0,2.2,1962,0,2741.3
"DOM_17T18",32.9,1.5,0.4,18.1,0,393.9,17.9,116.9,691.5,2.3,49.9,42.7,31.2,19.8,26.5,9.8,3,2,11.1,0.3,0.8,28.5,93.6,6,227.5,470.4,20.9,1.7,1.6,5.5,0.8,25.1,166.5,27.1,6.2,103,42.5,75.8,29.3,48.4,65.3,52.2,7.9,21.5,0,885.4,0.1,2.5,115.1,9.4,0,9.2,1673.6,0,5695.1
"DOM_19",168.8,91.3,4,146.6,0,110.3,7.4,9.8,63,80.5,83.4,2.3,8.2,49,146.7,9.6,1.3,1.2,7.7,0.3,1.8,8.2,306,11.2,196.2,94.9,955.5,338.6,219,24.9,0.5,24,1.6,2.2,1.5,5.2,4.4,26.7,46.9,64,14.8,37.2,2,21.4,0,1259,0,0.3,19.9,-334.3,0,29.7,746.7,0,5121.6
"DOM_20",305.4,8.7,2.7,184.3,0,151.3,38.6,49,172.3,48.7,517.6,29.1,291.8,79.9,266,29.8,6.8,5.1,19.6,0.2,2.6,33.4,11.1,15.8,283.8,45.8,40,10.7,7.7,4.2,0.8,16.7,9.8,6.7,2.7,4.5,11.6,16.8,23.4,33,21.6,52.4,3,29.2,0,998.1,0,0.9,64.4,-356.6,0,11.5,1866.9,0,5479.3
"DOM_21",51.6,14.7,0,3.7,0,31.5,0.8,0.8,3.1,0.6,6.5,70.3,3.5,0.6,4.6,0.5,0.6,0.5,0.4,0.4,0.1,0.5,0.4,0.3,4.6,3.8,1.3,0.2,0.2,0.3,0,0.7,1.7,0.8,0.4,0.9,1.7,1,1,25.4,1.5,242,0.2,0.8,0,530.1,0,0.1,20.2,47.4,0,6.3,94.2,0,1183.3
"DOM_22",56.7,8.4,0.3,62.5,0,289.9,10.5,5.4,40.6,1.9,45.3,22.3,109,7.4,54.6,8.9,1.9,1.5,7.9,0.2,2.3,17,6.9,1,283.2,189.9,100.7,2.9,2.1,5.5,0.3,7.9,3.9,8.3,2.9,11.7,3.7,4.8,7.5,12.9,6.7,13.9,0.7,6.1,0,302.5,0,0.3,225.5,-170.9,0,1.2,392.7,0,2189.4
"DOM_23",14.5,1.9,0.3,26,0,25.6,1.3,3.6,8.1,1.2,22.1,3.6,11.7,255.1,29.3,14,12.5,9.1,12.2,0.1,1.3,6.2,4.4,0.5,1720.8,34.4,19.8,8,2.8,0.9,0,8.6,1.1,9,0.4,2.3,3.8,1.3,1.6,4.7,8,3.6,0.2,1.5,0,168.6,0,0.6,80.1,-35.9,0,0.6,114.3,0,2625.7
"DOM_24",54.1,2.1,9.2,137.7,1,41.6,8.8,10.8,36.1,9.2,110.5,7.4,55.6,41.2,1485.8,357.9,30.4,43.2,71.1,8.1,16.2,74.9,3.5,3.5,643.9,25.6,7.7,1.6,0.8,2.7,0.3,3.3,2.8,3.1,2.7,3.4,6.9,19,9.8,8.1,3.8,13.6,1.3,5.3,0,179.3,0,0.3,236.2,-75.5,0,2.4,20303.2,0,24031.9
"DOM_25",17.2,7.6,1.3,167.5,0.1,81.7,6.7,9.1,30.6,1.1,22.5,2.1,10.1,17.1,178.3,117.6,7.6,7.6,21.2,0.9,6.3,26.7,31.2,1.5,1074.4,34.9,33.3,5.1,7.7,4.5,0.5,10.4,7,17.4,5.7,12.9,5.6,13.6,23.3,13,6.3,14.3,1.2,3.2,0,242.8,0,0.7,623.2,-108.4,0,0.9,334.7,0,3161.7
"DOM_26",2.4,0.8,0.2,11,0,4.4,0.5,0.8,2.1,0.1,1,0.4,0.8,1.7,8.8,0.8,1.4,0.3,0.5,0.1,0.1,0.5,3.5,0.5,13.4,18.1,5.2,1.5,1.2,1.8,0.2,1.6,1.1,4.2,9.6,5,1,3.6,4.1,5.3,2.9,4.2,0.6,0.9,0,185.9,0,1.7,72,32.8,0,14.2,171.4,0,605.9
"DOM_27",1.1,1.1,0,2.2,0,1.1,0.1,0.1,0.3,0.2,0.9,0.3,0.2,0.4,2.4,1.3,3.8,5.8,5.6,0,0.9,0.7,0.8,0.3,28.2,23.9,1.4,0,0,0.3,0,0.4,1.1,2.1,0.4,0.6,1.1,2.5,2.7,1.2,0.7,7.8,0.9,4.1,0,96.6,0,0.3,118.7,-181.1,0,3,188.9,0,335.5
"DOM_28",11.8,5.5,2.6,112.3,0.1,20.9,1.8,7.1,16.2,1.8,10.6,2.1,6.3,5.5,93.3,5.3,3.8,4,18.7,0.1,2.2,8.3,27.3,3.7,64.3,70.5,24.8,10.7,10.4,7.3,0.5,5.7,5.3,23.6,12.5,17.3,6.3,16.6,31.8,20.3,7,13.1,2.2,5.8,0,84.1,0,0.5,330.6,-113.2,0,1.5,391.1,0,1422
"DOM_29",0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7,0,0,0,0,0,127.6,0,0,127,-116.5,0,0,170.8,0,329.2
"DOM_30",2.5,0.3,0.3,19.3,0,2.4,0.1,1,2.3,0,0.6,0.3,0.7,0.4,14.6,0.1,0.1,0,0.5,3.2,3,0.6,6.1,1.4,4,19.1,23.9,2.5,1.6,2,0.1,1.4,1.1,6,1.7,3.7,3.7,2.8,8.6,7,1.7,2.7,0.3,1.1,0,22.5,0,0,45.8,-3.7,0,0,202.6,0,422.1
"DOM_31T33",9.1,3,2,171.2,0,22.1,11.2,9.6,21.8,0.3,5.5,2.9,6.4,3.2,128.4,0.7,0.6,0.4,2.9,0.1,0.1,8.8,52.8,4.3,58.9,59.4,46.5,21.9,13.5,13.3,1,10.3,10.2,53.9,14.6,41.1,3.1,19.8,30.5,23.4,13.2,24.2,2.5,4.9,0,614.7,0,0.9,78.4,-6.8,0,27.8,157.9,0,1806.6
"DOM_35",116.3,15,3.1,631.3,0.1,271.1,28.9,151,364,208.8,192,10,89.5,98.5,994.4,78.3,8.1,3.9,27,6.4,7.6,19.6,4061,118.4,115.2,466,102.2,2.3,4.2,77.1,3.2,116.8,16.4,113.6,14.6,95.5,162.5,57.9,48.3,296.5,166.4,183.1,18.4,41.9,0,2240.4,0,0.1,26.8,-14.4,0,0.3,13,0,11872.7
"DOM_36T39",2.8,0.6,0.3,22.2,0,27.7,3.1,1.3,38.6,1.1,11.9,1.2,15.2,9.4,52.3,3.7,0.8,0.4,6.1,3.1,0.5,4.6,1.1,84.9,28.7,32.6,6.8,0.5,0.7,6.4,0.3,15.2,0.7,1.1,2.3,10.7,14.3,12.4,3.7,115.5,85.6,27.6,3.1,20.8,0,869.9,202.4,113.3,1.2,1.1,0,0,0.4,0,1870.4
"DOM_41T43",23.5,10.2,1.7,23.3,0,34.8,3.8,4.8,14.1,4.8,8,4.6,5.2,14.2,14.6,7.5,4.6,3.1,4.8,0,1.8,4.5,54.9,145.1,26.5,311.3,60,2.5,17.4,123.1,0.3,44.8,5,28.3,7.7,84.8,2540.9,52.2,29.4,474.7,150.7,83.2,11.3,16.5,0,127.9,0,0.8,21733.5,0,0,0,0,0,26326.7
"DOM_45T47",912.4,157,10.6,481.1,0.2,1772.1,221.9,127.1,369.7,49.9,297.4,107.8,168.6,93,500.3,83,24.9,17.2,66.6,28.6,44.2,86.5,331.1,47.3,993.5,1542.4,968.2,167.3,146.8,99.5,13.5,361.1,63,339.4,107.8,178.5,71.9,154.1,342.9,270.4,96.3,375.1,39.3,69,0,9779.6,2.6,51.5,1975.7,-49.3,0,93,3847.6,0,28099.1
"DOM_49",405.4,56.3,5.4,211.7,0.1,884.6,55.3,99.9,165.9,25.8,143.1,28.8,76.4,70.2,218.9,56.3,12.8,9.8,36.9,13.9,17.5,43.2,153.6,14.5,489.9,815.3,354.6,85,47.2,20.1,9.8,102,16.3,15.2,31.6,37.5,18.6,48.7,92.1,95.8,41.8,97.3,6.6,22.7,0,3663.9,0.3,23.2,704.3,2.8,0,127.4,1702.8,0,11478.8
"DOM_50",30.9,2.6,0.3,8.3,0,63,4.7,4,8.3,1.6,7.4,2.2,5.8,3.4,13.1,4,1,0.8,3.1,1.2,1.4,3.1,10.4,1,36.9,20,18.1,42.8,3.5,1.3,0.1,8.2,1.2,0.9,2.9,3.4,1.8,3.5,6,6.9,2.1,7.1,0.4,1.5,0,215.1,0,2.2,61.6,-9.7,0,25.9,2456.5,0,3101.8
"DOM_51",31.8,5.9,3.3,45.7,0,83.1,5.8,5.9,14,2.9,19,4,9.1,6.6,42.1,7.8,2.1,1.2,5.5,1.5,2.2,5,18.5,4.4,97.3,65.3,54.3,11.4,81.8,11,18,15.8,6,17.2,15.4,27.4,3.7,30.2,22.7,73.7,7.1,12.5,4.3,4.1,0,555.5,0,1.8,60.7,46.9,0,90.9,1476.4,0,3139.1
"DOM_52",76.4,18.8,1,42.5,0,190.1,14.4,32.7,36.2,7.4,34.2,10.6,17.2,11.5,51,12.8,3.2,2.3,8.5,2.9,4,9.1,26.2,2.4,88.4,289.7,201.4,411.2,95.4,77.7,1,20,2.8,3.5,7.1,6.2,3.2,7.3,14.3,16.7,4.7,17.6,0.8,5.2,0,913.7,0.1,4.8,147.7,9,0,5,823.4,0,3793.4
"DOM_53",3.2,0.8,0,0.8,0,6.1,1.1,0.8,1.6,0.3,1.7,0.7,1.1,1.1,0.9,1.4,0.6,0.3,1,0,0.3,1.2,4.5,1.1,4.6,33.1,5,0.8,0.2,4.7,82.3,2.5,1,16.4,5.9,71.8,8.3,10.4,10.8,14.5,4.3,2.4,0.7,1.6,0,58.3,0,0,1.4,1.9,0,1.8,63.8,0,439.4
"DOM_55T56",21,1.5,1.2,25,0,20.6,2.9,1.8,4.6,0.9,7.3,2.9,2.9,3.1,27,2.7,1.2,0.6,2.5,0.4,0.6,1.8,4.2,4,38.7,87.3,114.4,19.3,73.8,7.1,0.7,7.9,10.3,11.4,12.2,35.1,5.1,40.3,10.6,55.2,110.4,51.4,18.8,3.4,0,3863.7,1.6,479.6,8.5,-0.3,0,582.3,18.8,0,5808
"DOM_58T60",3.5,1.3,0.3,3.6,0,28.4,1.8,2.1,9.2,0.6,5.9,3.1,4.8,2,4.7,2.3,0.6,0.4,1.4,7.7,0.2,1.5,2.6,2.3,17.8,187.3,25.5,11.9,4.2,9.7,2.8,11.4,38,65.8,17.7,70.8,28.3,63,25.4,25.3,55.3,30,7.5,8.5,0,495.8,12,4.1,137.8,-12.7,0,9.2,127.4,0,1570
"DOM_61",19.6,11.5,1.9,31.3,0,52.7,6.7,11.1,21.9,4.7,13.5,3.8,6.1,7.6,35.7,8.2,2.8,1.5,5.6,9.7,2.6,11.1,12.5,7.2,44,267.9,62.9,25.6,12.2,41.3,7.1,26.1,168.9,2209.5,48.3,150.6,35.5,79,62.3,141.2,50.6,53.1,10.3,22.5,0,3220,21.3,0.5,33.2,1.4,0,41,159.5,0,7285.3
